date,client,industry,location,position,skillset,interview_type,gender,cand_cur_loc,cand_job_loc,interview_loc,start_perm,unsch_mtgs,precall,alt_num,res_jd,venue_clear,letter_shared,mar_status,weekdays,exp_noshow,obs_noshow,d_loc2job,d_loc2int
2015-02-13,Hospira,Pharmaceuticals,Chennai,Production- Sterile,Routine,Scheduled Walkin,1,Chennai,Hosur,Hosur,1,1,1,1,1,1,1,0,4,0,1,268,268
2015-02-13,Hospira,Pharmaceuticals,Chennai,Production- Sterile,Routine,Scheduled Walkin,1,Chennai,Bangalore,Hosur,1,1,1,1,1,1,1,0,4,0,1,290,268
2015-02-13,Hospira,Pharmaceuticals,Chennai,Production- Sterile,Routine,Scheduled Walkin,1,Chennai,Chennai,Hosur,0,0,0,0,0,0,0,0,4,1,1,0,268
2015-02-13,Hospira,Pharmaceuticals,Chennai,Production- Sterile,Routine,Scheduled Walkin,1,Chennai,Chennai,Hosur,1,1,0,1,0,1,1,0,4,1,1,0,268
2015-02-13,Hospira,Pharmaceuticals,Chennai,Production- Sterile,Routine,Scheduled Walkin,1,Chennai,Bangalore,Hosur,1,1,1,0,1,1,1,1,4,1,1,290,268
2015-02-13,Aon Hewitt,IT Services,Gurgaon,Selenium testing,Routine,Scheduled Walkin,1,Gurgaon,Gurgaon,Gurgaon,1,1,1,1,1,1,1,0,4,0,0,0,0
2015-02-13,Aon Hewitt,IT Services,Gurgaon,Selenium testing,Routine,Scheduled Walkin,1,Gurgaon,Gurgaon,Gurgaon,1,1,1,1,1,1,1,0,4,0,0,0,0
2015-02-13,Aon Hewitt,IT Services,Gurgaon,Selenium testing,Routine,Scheduled Walkin,0,Gurgaon,Gurgaon,Gurgaon,1,1,1,1,1,1,1,0,4,0,0,0,0
2015-02-13,Aon Hewitt,IT Services,Gurgaon,Selenium testing,Routine,Scheduled Walkin,1,Gurgaon,Gurgaon,Gurgaon,1,1,1,1,1,1,1,0,4,0,0,0,0
2015-02-13,Aon Hewitt,IT Services,Gurgaon,Selenium testing,Routine,Scheduled Walkin,0,Gurgaon,Gurgaon,Gurgaon,1,1,1,1,1,1,1,0,4,0,1,0,0
2015-06-19,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,1,Bangalore,Bangalore,Bangalore,1,1,1,1,1,1,1,0,4,0,0,0,0
2015-06-19,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,0,Bangalore,Bangalore,Bangalore,0,1,0,0,1,1,1,0,4,1,1,0,0
2015-06-19,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,1,Bangalore,Bangalore,Bangalore,1,1,1,1,1,1,1,0,4,0,0,0,0
2015-06-19,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,1,Bangalore,Bangalore,Bangalore,0,1,1,1,1,1,0,0,4,1,0,0,0
2015-06-19,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,1,Bangalore,Bangalore,Bangalore,1,1,1,1,1,1,1,0,4,0,0,0,0
2015-06-19,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,0,Bangalore,Bangalore,Bangalore,1,1,1,1,1,1,1,0,4,0,0,0,0
2015-06-19,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,0,Bangalore,Bangalore,Bangalore,1,1,1,1,1,1,1,0,4,0,0,0,0
2015-06-19,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,0,Bangalore,Bangalore,Bangalore,0,1,1,0,1,1,1,0,4,1,1,0,0
2015-06-19,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,1,Bangalore,Bangalore,Bangalore,1,1,1,1,1,1,1,0,4,0,0,0,0
2015-06-19,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,1,Bangalore,Bangalore,Bangalore,1,1,1,1,1,1,1,0,4,0,1,0,0
2015-06-19,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,1,Bangalore,Bangalore,Bangalore,0,1,1,1,1,1,0,0,4,1,1,0,0
2015-06-19,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,1,Bangalore,Bangalore,Bangalore,1,1,1,1,1,1,1,0,4,0,0,0,0
2015-06-19,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,1,Bangalore,Bangalore,Bangalore,1,1,1,1,1,1,1,0,4,0,0,0,0
2015-06-19,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,1,Bangalore,Bangalore,Bangalore,1,1,1,1,1,1,1,0,4,0,0,0,0
2015-06-19,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,1,Bangalore,Bangalore,Bangalore,1,1,1,0,0,1,1,0,4,1,1,0,0
2015-06-19,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,1,Bangalore,Bangalore,Bangalore,0,0,1,1,1,1,0,0,4,1,1,0,0
2015-06-19,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,1,Bangalore,Bangalore,Bangalore,0,1,1,1,1,1,0,1,4,1,1,0,0
2015-06-19,UST,IT Services,Bangalore,Dot Net,Routine,Scheduled Walkin,1,Bangalore,Bangalore,Bangalore,0,1,1,1,0,1,0,0,4,1,1,0,0
2015-06-23,Standard Chartered Bank,BFSI,Chennai,AML,Routine,Scheduled Walkin,0,Chennai,Chennai,Chennai,1,1,1,1,1,1,1,1,1,0,0,0,0
2015-06-23,Standard Chartered Bank,BFSI,Chennai,AML,Routine,Scheduled Walkin,0,Chennai,Chennai,Chennai,1,1,1,1,1,1,1,1,1,0,0,0,0
2015-06-23,Standard Chartered Bank,BFSI,Chennai,AML,Routine,Scheduled Walkin,0,Chennai,Chennai,Chennai,1,1,1,1,1,1,1,0,1,0,0,0,0
2015-06-23,Standard Chartered Bank,BFSI,Chennai,AML,Routine,Scheduled Walkin,0,Chennai,Chennai,Chennai,1,1,1,0,1,1,0,0,1,1,1,0,0
2015-06-23,Standard Chartered Bank,BFSI,Chennai,AML,Routine,Scheduled Walkin,1,Chennai,Chennai,Chennai,1,1,1,1,1,1,1,1,1,0,0,0,0
2015-06-23,Standard Chartered Bank,BFSI,Chennai,AML,Routine,Scheduled Walkin,1,Chennai,Chennai,Chennai,1,1,1,1,1,1,1,1,1,0,1,0,0
2015-06-23,Standard Chartered Bank,BFSI,Chennai,AML,Routine,Scheduled Walkin,1,Chennai,Chennai,Chennai,1,1,1,0,1,0,1,1,1,1,1,0,0
2015-06-23,Standard Chartered Bank,BFSI,Chennai,AML,Routine,Scheduled Walkin,1,Chennai,Chennai,Chennai,1,1,1,1,1,1,1,0,1,0,0,0,0
2015-06-29,Standard Chartered Bank,BFSI,Chennai,Trade Finance,Routine,Scheduled Walkin,0,Chennai,Chennai,Chennai,1,1,1,1,1,1,1,1,0,0,0,0,0
2015-06-29,Standard Chartered Bank,BFSI,Chennai,Trade Finance,Routine,Scheduled Walkin,1,Chennai,Chennai,Chennai,1,1,1,1,1,1,1,0,0,0,1,0,0
2015-06-29,Standard Chartered Bank,BFSI,Chennai,Trade Finance,Routine,Scheduled Walkin,1,Chennai,Chennai,Chennai,1,1,1,1,1,1,1,1,0,0,0,0,0
2015-06-29,Standard Chartered Bank,BFSI,Chennai,Trade Finance,Routine,Scheduled Walkin,1,Chennai,Chennai,Chennai,1,1,1,1,1,1,1,1,0,0,0,0,0
2015-06-29,Standard Chartered Bank,BFSI,Chennai,Trade Finance,Routine,Scheduled Walkin,1,Chennai,Chennai,Chennai,1,1,1,1,1,0,1,1,0,1,1,0,0
2015-06-29,Standard Chartered Bank,BFSI,Chennai,Trade Finance,Routine,Scheduled Walkin,0,Chennai,Chennai,Chennai,1,1,1,1,1,1,1,0,0,0,0,0,0
2015-06-29,Standard Chartered Bank,BFSI,Chennai,Trade Finance,Routine,Scheduled Walkin,0,Chennai,Chennai,Chennai,1,1,1,0,0,1,1,1,0,1,1,0,0
2015-06-29,Standard Chartered Bank,BFSI,Chennai,Trade Finance,Routine,Scheduled Walkin,1,Chennai,Chennai,Chennai,1,1,1,1,1,1,1,0,0,0,0,0,0
2015-06-29,Standard Chartered Bank,BFSI,Chennai,Trade Finance,Routine,Scheduled Walkin,1,Chennai,Chennai,Chennai,1,1,1,1,1,1,1,1,0,0,1,0,0
2015-06-29,Standard Chartered Bank,BFSI,Chennai,Trade Finance,Routine,Scheduled Walkin,0,Chennai,Chennai,Chennai,1,1,1,1,1,1,1,1,0,0,0,0,0
2015-06-29,Standard Chartered Bank,BFSI,Chennai,Trade Finance,Routine,Scheduled Walkin,0,Chennai,Chennai,Chennai,1,1,1,1,1,0,0,1,0,1,0,0,0
2015-06-25,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walkin,0,Chennai,Chennai,Chennai,1,1,1,1,1,1,1,1,3,0,0,0,0
2015-06-25,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walkin,1,Chennai,Chennai,Chennai,1,1,1,1,1,1,1,0,3,0,0,0,0
2015-06-25,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walkin,1,Chennai,Chennai,Chennai,1,1,1,1,1,1,1,0,3,0,0,0,0
2015-06-25,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walkin,1,Chennai,Chennai,Chennai,1,1,1,1,1,1,1,1,3,0,0,0,0
2015-06-25,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walkin,1,Chennai,Chennai,Chennai,1,1,1,1,1,1,1,1,3,0,1,0,0
2015-06-25,Standard Chartered Bank,BFSI,Chennai,Routine,Oracle,Scheduled Walkin,1,Chennai,Chennai,Chennai,1,1,1,1,1,1,1,1,3,0,0,0,0
